artist,title,track_n,line,lyric,track_title
Beyonce,Dangerously in Love,1,58,"The genuine article, I do not sing though",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,59,"I sling though, if anything, I bling yo",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,60,"A star like Ringo, war like a Green Beret",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,61,You crazy? Bring ya whole set,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,62,"JAY-Z in the Range, crazy and deranged",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,63,"They can't figure him out, they like, ""Hey, is he insane?"" (Oh, no)",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,64,"Yes sir, I'm cut from a different cloth",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,65,My texture is the best fur: chinchilla,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,66,I've been iller than chain smokers,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,67,How you think I got the name Hova?,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,68,"I been realer, the game's over",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,69,"Fall back, Young",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,70,Ever since I made the change over to platinum,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,71,"The game's been a wrap, one",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,72,"Got me looking, so crazy, my baby",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,73,"I'm not myself lately, I'm foolish, I don't do this",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,74,"I've been playing myself, baby, I don't care",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,75,'Cause your love's got the best of me,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,76,And baby you're making a fool of me,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,77,You got me sprung and I don't care who sees,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,78,"'Cause baby you got me, you got me",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,79,"You got me, you got me so crazy, baby",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,80,Hey!,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,81,Got me looking so crazy right now,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,82,Your love's got me looking so crazy right now (Your love),Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,83,Got me looking so crazy right now,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,84,Your touch got me looking so crazy right now (Your touch),Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,85,Got me hoping you'll page me right now,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,86,Your kiss got me hoping you'll save me right now,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,87,"Looking so crazy, your love's got me looking",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,88,Got me looking so crazy in love,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,89,Got me looking so crazy right now,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,90,Your love's got me looking so crazy right now (Your love),Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,91,Got me looking so crazy right now,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,92,Your touch got me looking so crazy right now (Your touch),Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,93,Got me hoping you'll page me right now,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,94,Your kiss got me hoping you'll save me right now,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,95,"Looking so crazy, your love's got me looking",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,96,Got me looking so crazy in love,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,2,1,"I love to love you, baby",Naughty Girl
Beyonce,Dangerously in Love,2,2,"I love to love you, baby",Naughty Girl
Beyonce,Dangerously in Love,2,3,I'm feeling sexy,Naughty Girl
Beyonce,Dangerously in Love,2,4,"I wanna hear you say my name, boy",Naughty Girl
Beyonce,Dangerously in Love,2,5,If you can reach me,Naughty Girl
Beyonce,Dangerously in Love,2,6,You can feel my burning flame,Naughty Girl
Beyonce,Dangerously in Love,2,7,I'm feelin' kind of n-a-s-t-y,Naughty Girl
Beyonce,Dangerously in Love,2,8,I might just take you home with me,Naughty Girl
Beyonce,Dangerously in Love,2,9,"Baby, the minute I feel your energy",Naughty Girl
Beyonce,Dangerously in Love,2,10,Your vibe has just taken over me,Naughty Girl
Beyonce,Dangerously in Love,2,11,"Start feeling so crazy, babe",Naughty Girl
Beyonce,Dangerously in Love,2,12,"Lately, I feel the funk coming over me",Naughty Girl
Beyonce,Dangerously in Love,2,13,I don't know what's gotten into me,Naughty Girl
Beyonce,Dangerously in Love,2,14,"The rhythm's got me feeling so crazy, babe",Naughty Girl
Beyonce,Dangerously in Love,2,15,"Tonight, I'll be your naughty girl",Naughty Girl
Beyonce,Dangerously in Love,2,16,I'm calling all my girls,Naughty Girl
Beyonce,Dangerously in Love,2,17,We're gonna turn this party out,Naughty Girl
Beyonce,Dangerously in Love,2,18,I know you want my body,Naughty Girl
Beyonce,Dangerously in Love,2,19,"Tonight, I'll be your naughty girl",Naughty Girl
Beyonce,Dangerously in Love,2,20,I'm calling all my girls,Naughty Girl
Beyonce,Dangerously in Love,2,21,I see you look me up and down,Naughty Girl
Beyonce,Dangerously in Love,2,22,And I came to party,Naughty Girl
Beyonce,Dangerously in Love,2,23,You're so sexy,Naughty Girl
Beyonce,Dangerously in Love,2,24,"Tonight, I am all yours, boy",Naughty Girl
Beyonce,Dangerously in Love,2,25,The way your body moves across the floor,Naughty Girl
Beyonce,Dangerously in Love,2,26,I'm feelin' kind of n-a-s-t-y,Naughty Girl
Beyonce,Dangerously in Love,2,27,I might just take you home with me,Naughty Girl
Beyonce,Dangerously in Love,2,28,"Baby, the minute I feel your energy",Naughty Girl
Beyonce,Dangerously in Love,2,29,Your vibe has just taken over me,Naughty Girl
Beyonce,Dangerously in Love,2,30,"Start feeling so crazy, babe",Naughty Girl
Beyonce,Dangerously in Love,2,31,"Lately, I feel the funk coming over me",Naughty Girl
Beyonce,Dangerously in Love,2,32,I don't know what's gotten into me,Naughty Girl
Beyonce,Dangerously in Love,2,33,"The rhythm's got me feeling so crazy, babe",Naughty Girl
Beyonce,Dangerously in Love,2,34,"Tonight, I'll be your naughty girl",Naughty Girl
Beyonce,Dangerously in Love,2,35,I'm calling all my girls,Naughty Girl
Beyonce,Dangerously in Love,2,36,We're gonna turn this party out,Naughty Girl
Beyonce,Dangerously in Love,2,37,I know you want my body,Naughty Girl
Beyonce,Dangerously in Love,2,38,"Tonight, I'll be your naughty girl",Naughty Girl
Beyonce,Dangerously in Love,2,39,I'm calling all my girls,Naughty Girl
Beyonce,Dangerously in Love,2,40,I see you look me up and down,Naughty Girl
Beyonce,Dangerously in Love,2,41,And I came to party,Naughty Girl
Beyonce,Dangerously in Love,2,42,"I love to love you, baby (I love to love you, baby)",Naughty Girl
Beyonce,Dangerously in Love,2,43,"I love to love you, baby (I love to love you, baby)",Naughty Girl
Beyonce,Dangerously in Love,2,44,"I love to love you, baby (I love to love you, baby)",Naughty Girl
Beyonce,Dangerously in Love,2,45,"I love to love you, baby (I love to love you, baby)",Naughty Girl
Beyonce,Dangerously in Love,2,46,"Tonight, I'll be your naughty girl",Naughty Girl
Beyonce,Dangerously in Love,2,47,I'm calling all my girls,Naughty Girl
Beyonce,Dangerously in Love,2,48,We're gonna turn this party out,Naughty Girl
Beyonce,Dangerously in Love,2,49,I know you want my body,Naughty Girl
Beyonce,Dangerously in Love,2,50,"Tonight, I'll be your naughty girl",Naughty Girl
Beyonce,Dangerously in Love,2,51,I'm calling all my girls,Naughty Girl
Beyonce,Dangerously in Love,2,52,I see you look me up and down,Naughty Girl
Beyonce,Dangerously in Love,2,53,And I came to party,Naughty Girl
Beyonce,Dangerously in Love,2,54,"Tonight, I'll be your naughty girl",Naughty Girl
Beyonce,Dangerously in Love,2,55,I'm calling all my girls,Naughty Girl
Beyonce,Dangerously in Love,2,56,We're gonna turn this party out,Naughty Girl
Beyonce,Dangerously in Love,2,57,I know you want my body,Naughty Girl
Beyonce,Dangerously in Love,2,58,"Tonight, I'll be your naughty girl",Naughty Girl
Beyonce,Dangerously in Love,2,59,I'm calling all my girls,Naughty Girl
Beyonce,Dangerously in Love,2,60,I see you look me up and down,Naughty Girl
Beyonce,Dangerously in Love,2,61,And I came to party,Naughty Girl
Beyonce,Dangerously in Love,3,1,Certified quality,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,2,A dat di gyaldem need and dem cry fi everyday without apology,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,3,"Buck dem di right way, dat a my policy",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,4,Sean da Paul 'longside Beyoncé,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,5,Now hear what di man seh,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,6,"Dis a dutty yeah, dutty yo",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,7,"Dutty yeah, dutty yo",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,8,"Beyoncé, sing it now, ya",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,9,"Baby boy, you stay on my mind",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,10,"Fulfill my fantasies (Come on, girl, tell me how you feel)",Baby Boy (Ft. Sean Paul)
